Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
241,Mary Kom,Eros,"$621,300",139,"$370,277",139,9/5,9/18
242,Finding Fanny,FIP,"$615,691",121,"$515,393",121,9/12,9/18
243,The Signal (2014),Focus,"$600,896",204,"$155,642",120,6/13,7/17
244,The Disappearance of Eleanor Rigby,Wein.,"$587,774",139,"$66,941",4,9/12,11/6
245,Back in Time (Congcong Nanian),CL,"$569,280",20,"$206,591",20,12/12,1/15
246,Forrest Gump (IMAX),Par.,"$557,683",337,"$398,560",337,9/5,9/11
247,The Attorney,WGUSA,"$557,236",27,"$216,035",27,2/7,3/2
248,23 Blast,OAE,"$549,185",617,"$337,091",617,10/24,11/20
249,On Any Sunday: The Next Chapter,Hann.,"$543,044",231,"$320,894",231,11/7,11/23
250,Highway (2014),UTV,"$529,136",97,"$326,654",97,2/21,3/16
251,Dom Hemingway,FoxS,"$523,511",129,"$29,276",4,4/2,5/15
252,A Hard Day's Night (2014 re-release),Jan.,"$515,005",136,"$220,542",102,7/4,7/20
253,The One I Love,RTWC,"$513,447",82,"$48,059",8,8/22,10/16
254,Tracks (2014),Wein.,"$510,007",67,"$21,544",4,9/19,11/27
255,The Two Faces of January,Magn.,"$507,463",59,"$43,116",6,9/26,12/25
256,A Girl Walks Home Alone at Night,KL,"$491,910",19,N/A,N/A,11/21,9/10
257,Last Days in Vietnam,AEF,"$466,114",25,"$30,500",2,9/5,2/26
258,In Secret,RAtt.,"$444,179",266,"$265,586",266,2/21,3/6
259,But Always (Yi Sheng Yi Shi),CL,"$430,760",20,"$144,720",20,9/5,10/16
260,Beijing Love Story,CL,"$428,318",12,"$140,106",9,2/14,3/27
261,Cold in July,IFC,"$427,418",73,"$40,317",6,5/23,7/31
262,She's Beautiful When She's Angry,ICir,"$421,573",19,"$10,505",1,12/5,10/22
263,The German Doctor,Gold.,"$418,392",39,"$34,259",5,4/25,6/19
264,The Pirates,WGUSA,"$415,775",25,"$26,025",1,9/5,10/5
265,Goodbye to Language,KL,"$390,099",7,N/A,N/A,10/24,4/23
266,Humpty Sharma Ki Dulhania,Relbig.,"$380,011",101,"$380,011",101,7/11,7/13
267,Women Who Flirt (Sajiao Nvren),CL,"$375,495",27,"$74,052",26,11/26,1/11
268,Venus in Fur,IFC,"$373,605",45,"$24,761",2,6/20,8/10
269,Joe (2014),RAtt.,"$373,375",48,"$105,881",48,4/11,5/22
270,Glen Campbell... I'll Be Me,A23,"$365,422",18,"$86,741",10,10/24,1/1
271,Omar,AF,"$356,000",53,"$157,000",53,2/21,3/2
272,The Face of Love,IFC,"$350,006",42,"$24,660",3,3/7,4/24
273,Le Chef,Cohen,"$342,667",19,"$11,290",1,6/20,8/17
274,Jimi: All Is By My Side,XL,"$340,911",75,"$97,008",34,9/26,10/16
275,Chinese Puzzle,Cohen,"$338,523",29,"$23,544",2,5/16,7/17
276,I Origins,FoxS,"$336,472",122,"$27,652",4,7/18,8/21
277,"Like Father, Like Son (2014)",IFC,"$334,616",35,"$16,044",2,1/17,4/3
278,The Guest (2014),PH,"$332,890",53,"$84,527",19,9/17,10/26
279,Elaine Stritch: Shoot Me,IFC,"$327,452",41,"$27,853",2,2/21,4/24
280,Nymphomaniac: Volume II,Magn.,"$327,167",31,"$74,978",30,4/4,6/19
281,Stranger By the Lake,Strand,"$325,196",16,"$27,599",2,1/24,5/8
282,On My Way,Cohen,"$317,324",32,"$10,536",1,3/14,5/15
283,Happy Ending,Eros,"$313,770",129,"$198,702",129,11/21,12/11
284,The Hornet's Nest,Free,"$312,706",57,"$26,550",4,5/9,7/31
285,I Am Eleven,Proud,"$310,116",16,"$5,800",2,9/12,7/2
286,A Five Star Life,MBox,"$306,917",20,"$15,996",1,7/18,10/2
287,Mood Indigo,Drft.,"$303,187",37,"$26,511",2,7/18,11/13
288,Innocence (2014),JSC,"$294,039",490,"$235,224",490,9/5,9/18
289,The Dance of Reality,Abk.,"$293,680",15,"$24,768",2,5/23,8/28
290,Antarctica: A Year on Ice,MBox,"$288,757",30,"$32,238",8,11/28,3/26
291,The Last of Robin Hood,Gold.,"$288,545",78,"$25,821",2,8/29,9/18
292,Elsa & Fred (2014),MNE,"$285,863",34,"$65,275",34,11/7,1/1
