Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
306,In the Name of my Daughter,Cohen,"$277,528",50,"$14,294",3,5/15,6/12
307,Hitchcock/Truffaut,Cohen,"$260,430",23,"$28,178",3,12/2,2/25
308,Love (2015),Alc,"$249,083",25,"$29,301",2,10/30,12/10
309,Carter High,PN,"$240,214",28,"$87,274",21,10/30,12/15
310,Tevar,Eros,"$236,002",127,"$171,026",127,1/9,1/19
311,Hamari Adhuri Kahani,FIP,"$235,361",67,"$131,263",67,6/12,6/21
312,20 Once Again,CJ,"$234,573",13,"$92,827",13,1/16,2/8
313,Slow West,A24,"$229,094",54,"$67,003",50,5/20,6/28
314,The Taking of Tiger Mountain,WGUSA,"$228,984",13,"$50,621",7,1/2,2/1
315,A Royal Night Out,ADC,"$228,136",158,"$100,847",158,12/4,12/24
316,A Pigeon Sat on a Branch Reflecting on Existence,Magn.,"$222,989",17,"$25,313",2,6/3,10/15
317,Pyaar Ka Punchnama 2,Rel.,"$222,856",49,"$107,536",49,10/16,11/1
318,Chocolate City,Free,"$212,662",24,"$98,829",15,5/22,6/25
319,Fall in Love Like a Star,CL,"$212,508",36,"$120,074",36,12/4,12/20
320,Wolf Totem,Sony,"$210,591",5,N/A,N/A,9/11,-
321,Dark Places,A24,"$208,588",151,N/A,151,8/7,8/20
322,Heneral Luna,Abr.,"$206,040",42,"$15,485",3,10/30,11/19
323,Escobar: Paradise Lost,RTWC,"$195,792",105,"$106,869",105,6/26,7/9
324,Gemma Bovery,MBox,"$191,533",29,"$19,095",5,5/29,-
325,The Connection,Drft.,"$190,980",27,"$10,335",2,5/15,-
